,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
119,22,0,-1,1,12340,6,CCALPeps,7750.7404,7744.1458,0.07602959208128776,0.1999524102784202,4.7589721579788245e-05,0.12397040791871224
120,23,0,-1,,1234,6,CVE,,,,,,
121,23,0,-1,,1234,6,CCALPeps,7861.388399999999,7854.861,0.15828037325853855,0.1582803732585386,0.04171962674146139,0.04171962674146146
122,23,0,-1,,2468,6,CVE,,,,,,
123,23,0,-1,,2468,6,CCALPeps,8458.9018,8450.6532,0.0694189150710344,0.06942350969246427,0.13057649030753574,0.1305810849289656
124,23,0,-1,,3702,6,CVE,,,,,,
125,23,0,-1,,3702,6,CCALPeps,9513.440200000001,9505.9716,0.08155272406112393,0.08156124614021357,0.11843875385978644,0.11844727593887608
126,23,0,-1,,4936,6,CVE,,,,,,
127,23,0,-1,,4936,6,CCALPeps,7102.265799999999,7095.244199999999,0.14399320028001195,0.14399320028001203,0.05600679971998797,0.05600679971998805
128,23,0,-1,,6170,6,CVE,,,,,,
129,23,0,-1,,6170,6,CCALPeps,8739.503200000001,8732.6738,0.18758439895668622,0.1875969625259716,0.0124030374740284,0.012415601043313785
130,23,0,-1,,7404,6,CVE,,,,,,
131,23,0,-1,,7404,6,CCALPeps,9054.4438,9047.328599999999,0.02803092049687453,0.028216574474229466,0.17178342552577053,0.17196907950312548
132,23,0,-1,,8638,6,CVE,,,,,,
133,23,0,-1,,8638,6,CCALPeps,7760.5462,7751.7645999999995,0.181983601639836,0.18198360163983604,0.018016398360163957,0.018016398360164
134,23,0,-1,,9872,6,CVE,,,,,,
135,23,0,-1,,9872,6,CCALPeps,9776.751800000002,9768.8086,0.18907039680310034,0.18907844719419326,0.010921552805806764,0.010929603196899663
136,23,0,-1,,11106,6,CVE,,,,,,
137,23,0,-1,,11106,6,CCALPeps,7989.0694,7982.2686,0.13735835440558813,0.13735835440558825,0.06264164559441174,0.06264164559441186
138,23,0,-1,,12340,6,CVE,,,,,,
139,23,0,-1,,12340,6,CCALPeps,9976.888200000001,9969.422999999999,0.013875206135508253,0.013876680208129205,0.1861233197918708,0.18612479386449174
140,23,0,-1,1,1234,6,CVE,,,,,,
141,23,0,-1,1,1234,6,CCALPeps,9134.7726,9127.814199999999,0.05402679580037193,0.08398320367963213,0.11601679632036785,0.14597320419962806
142,23,0,-1,1,2468,6,CVE,,,,,,
143,23,0,-1,1,2468,6,CCALPeps,8090.7258,8083.342600000001,0.08999440207964,0.08999440207964013,0.11000559792035988,0.11000559792036
144,23,0,-1,1,3702,6,CVE,,,,,,
145,23,0,-1,1,3702,6,CCALPeps,8513.544399999999,8506.733,0.18797200487930407,0.1879720048793041,0.0120279951206959,0.012027995120695922
146,23,0,-1,1,4936,6,CVE,,,,,,
