,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
428,10,0,-1,3702,6,CCALPeps,3001.1698,2996.7996,0.1876413722435627,0.18764137224356275,0.012358627756437236,0.012358627756437295
429,10,0,-1,4936,6,CVE,1573.0296,1572.2167999999995,0.1602621911884386,0.1602621911884386,0.039737808811561366,0.039737808811561366
430,10,0,-1,4936,6,CCVE,91319.0958,91109.5328,0.1602621911884386,0.1602621911884386,0.03973780881156139,0.03973780881156139
431,10,0,-1,4936,6,CCALPeps,3300.3242,3295.8964,0.1602450151789776,0.16024501517897766,0.03975498482102235,0.0397549848210224
432,10,0,-1,6170,6,CVE,1594.2958,1593.3438,0.09556792677987774,0.09556792677987774,0.10443207322012224,0.10443207322012224
433,10,0,-1,6170,6,CCVE,87557.3766,87370.8756,0.0955679267798777,0.0955679267798777,0.1044320732201223,0.1044320732201223
434,10,0,-1,6170,6,CCALPeps,2939.2018000000007,2934.831,0.0955737243331551,0.09557372433315522,0.10442627566684476,0.1044262756668449
435,10,0,-1,7404,6,CVE,1535.4793999999995,1534.4818,0.06417760063561402,0.06417760063561402,0.13582239936438595,0.13582239936438595
436,10,0,-1,7404,6,CCVE,92941.0592,92732.53199999999,0.06417760063561402,0.06417760063561402,0.13582239936438595,0.13582239936438595
437,10,0,-1,7404,6,CCALPeps,2682.74,2678.641,0.06417605381988334,0.06417605381988344,0.13582394618011656,0.13582394618011667
438,10,0,-1,8638,6,CVE,1571.1442000000004,1570.0710000000001,0.0054870479390199366,0.0054870479390199366,0.19451295206098007,0.19451295206098007
439,10,0,-1,8638,6,CCVE,85667.963,85457.74799999999,0.005487047939019938,0.005487047939019938,0.19451295206098007,0.19451295206098007
440,10,0,-1,8638,6,CCALPeps,2908.762,2904.1026,0.00550405095024076,0.005504050950240772,0.19449594904975925,0.19449594904975925
441,10,0,-1,9872,6,CVE,1604.4934,1603.4176,0.13141534359144846,0.13141534359144846,0.06858465640855152,0.06858465640855152
442,10,0,-1,9872,6,CCVE,83334.39660000001,83121.5016,0.1314153435914485,0.1314153435914485,0.06858465640855152,0.06858465640855152
443,10,0,-1,9872,6,CCALPeps,3113.6506,3108.9394,0.13137420242930326,0.13137420242930342,0.06862579757069659,0.06862579757069673
444,10,0,-1,11106,6,CVE,1604.3412,1603.3596000000002,0.1157909872,0.1157909872,0.0842090128,0.0842090128
445,10,0,-1,11106,6,CCVE,81246.2486,81041.34419999999,0.1157909872,0.1157909872,0.08420901280000001,0.08420901280000001
446,10,0,-1,11106,6,CCALPeps,2930.2226,2925.7682,0.11578036496117215,0.1157803649611723,0.0842196350388277,0.08421963503882783
447,10,0,-1,12340,6,CVE,1597.2288,1596.2556,0.10477046098482357,0.10477046098482357,0.09522953901517643,0.09522953901517643
448,10,0,-1,12340,6,CCVE,94707.0882,94486.483,0.10477046098482357,0.10477046098482357,0.09522953901517643,0.09522953901517643
449,10,0,-1,12340,6,CCALPeps,2983.1112000000007,2978.6286,0.1047771671094497,0.10477716710944984,0.09522283289055017,0.0952228328905503
480,11,0,-1,1234,6,CVE,10211.4206,10210.5412,0.16168085583368058,0.16168085583368058,0.038319144166319416,0.038319144166319416
481,11,0,-1,1234,6,CCVE,inf,inf,,,,
482,11,0,-1,1234,6,CCALPeps,3337.6547999999993,3333.0184,0.16165365718048166,0.16165365718048172,0.03834634281951828,0.03834634281951835
483,11,0,-1,2468,6,CVE,10807.7088,10806.8118,0.10362162672668823,0.10362162672668823,0.09637837327331177,0.09637837327331177
484,11,0,-1,2468,6,CCVE,inf,inf,,,,
485,11,0,-1,2468,6,CCALPeps,3149.023,3143.7972,0.1036190523850052,0.10361905238500536,0.09638094761499463,0.0963809476149948
486,11,0,-1,3702,6,CVE,10205.926,10205.0824,0.17048115662313232,0.17048115662313232,0.029518843376867655,0.029518843376867655
487,11,0,-1,3702,6,CCVE,inf,inf,,,,
488,11,0,-1,3702,6,CCALPeps,,,,,,
489,11,0,-1,4936,6,CVE,12007.531599999998,12006.679999999997,0.040022249164542265,0.040022249164542265,0.15997775083545776,0.15997775083545776
490,11,0,-1,4936,6,CCVE,inf,inf,,,,
491,11,0,-1,4936,6,CCALPeps,3185.7188,3181.0134,0.04003459725592279,0.040034597255922864,0.15996540274407714,0.1599654027440772
492,11,0,-1,6170,6,CVE,9570.3494,9569.4708,0.08137733013954034,0.08137733013954034,0.11862266986045968,0.11862266986045968
493,11,0,-1,6170,6,CCVE,inf,inf,,,,
494,11,0,-1,6170,6,CCALPeps,3604.7414,3599.2638,0.0813799297657967,0.08137992976579685,0.11862007023420315,0.11862007023420333
495,11,0,-1,7404,6,CVE,10642.1414,10641.2934,0.12328178531014483,0.12328178531014483,0.07671821468985518,0.07671821468985518
496,11,0,-1,7404,6,CCVE,inf,inf,,,,
497,11,0,-1,7404,6,CCALPeps,3276.8913999999995,3272.0468,0.12326906255434747,0.12326906255434762,0.07673093744565238,0.07673093744565251
498,11,0,-1,8638,6,CVE,10462.1596,10461.3216,0.05417633682279159,0.05417633682279159,0.14582366317720846,0.14582366317720846
499,11,0,-1,8638,6,CCVE,inf,inf,,,,
500,11,0,-1,8638,6,CCALPeps,3557.7036,3552.8697999999995,0.05419568727764162,0.05419568727764175,0.14580431272235825,0.14580431272235836
