,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
102,9,0,-1,6170,CVE,10.1052,9.4392,0.16763595533051723,0.16763595533051723,0.03037653646174761,0.03037653646174761,0.0019875082077351666,0.0019875082077351666
103,9,0,-1,6170,CCVE,221.1538,99.24480000000001,0.16763595533051723,0.16763595533051723,0.030376536461747605,0.030376536461747605,0.001987508207735166,0.001987508207735166
104,9,0,-1,6170,CCALPeps,4529.0552,4523.308,0.1675983781498087,0.16759849529302573,0.030394705383284936,0.030394822533128096,0.002006799317063131,0.0020067993236894525
105,9,0,-1,7404,CVE,10.7012,10.0524,0.09562134229149989,0.09562134229149989,0.09707355919400151,0.09707355919400151,0.00730509851449859,0.00730509851449859
106,9,0,-1,7404,CCVE,236.4578,109.3252,0.0956213422914999,0.0956213422914999,0.09707355919400151,0.09707355919400151,0.00730509851449859,0.00730509851449859
107,9,0,-1,7404,CCALPeps,3884.0860000000002,3879.5576,0.09560441636912184,0.09560487534689244,0.09707301292676469,0.0970734777277565,0.007321651930498929,0.007322565698995418
108,9,0,-1,8638,CVE,10.59,9.9976,0.16920614912753582,0.16920614912753582,0.029605412966378208,0.029605412966378208,0.0011884379060859696,0.0011884379060859696
109,9,0,-1,8638,CCVE,137056.54280000002,136941.4302,0.1687656530711595,0.169621455111297,0.02920818870297586,0.03002662193005414,0.0011703153046277984,0.001207768679904238
110,9,0,-1,8638,CCALPeps,3769.5657999999994,3764.7568,0.1687734582501943,0.16955550758298982,0.029254626269680277,0.029999171151946426,0.0011898661473299002,0.001227370597859289
111,9,0,-1,9872,CVE,9.673599999999999,9.145999999999999,0.049409200052821255,0.049409200052821255,0.14071533438267508,0.14071533438267508,0.009875465564503697,0.009875465564503697
112,9,0,-1,9872,CCVE,256.65360000000004,142.0938,0.04940920005282125,0.04940920005282125,0.14071533438267506,0.14071533438267506,0.009875465564503692,0.009875465564503692
113,9,0,-1,9872,CCALPeps,4785.8962,4780.9482,0.04943472953817022,0.04943487791703497,0.14067500510924735,0.1406751462361502,0.00989011697371757,0.009890124225679666
114,9,0,-1,11106,CVE,10.833400000000001,10.187999999999999,0.09081443150474748,0.09081443150474748,0.09914185511395199,0.09914185511395199,0.01004371338130054,0.01004371338130054
115,9,0,-1,11106,CCVE,inf,inf,,,,,,
116,9,0,-1,11106,CCALPeps,3975.6338000000005,3970.7410000000004,0.0804782518232835,0.09190302205624698,0.09809801202585469,0.10867163202729513,0.009993677433353061,0.01085603059700422
117,9,0,-1,12340,CVE,10.9632,10.3074,0.07431604000610487,0.07431604000610487,0.09077142900401712,0.09077142900401712,0.034912530989878024,0.034912530989878024
118,9,0,-1,12340,CCVE,,,,,,,,
119,9,0,-1,12340,CCALPeps,3515.8326,3510.7398000000003,0.07412119682625723,0.07438231525313743,0.09047700420294069,0.09157491005346374,0.03430389312027901,0.0351406805439219
120,11,0,-1,1234,CVE,20.8662,20.304,0.1363092052171785,0.1363092052171785,0.06369079478282154,0.06369079478282154,,
121,11,0,-1,1234,CCVE,536.9259999999999,421.3896,0.13630920521717846,0.13630920521717846,0.06369079478282155,0.06369079478282155,,
122,11,0,-1,1234,CCALPeps,4710.718400000001,4705.8712,0.1362766665938851,0.1362951369735113,0.06370486302648871,0.06372333340611491,,
123,11,0,-1,2468,CVE,21.6284,20.948,0.10260799999999999,0.10260799999999999,0.097392,0.097392,,
124,11,0,-1,2468,CCVE,591.9634,470.6513999999999,0.102544,0.10263359999999999,0.0973664,0.09745600000000001,,
125,11,0,-1,2468,CCALPeps,3982.2784,3976.6928,0.10254448801821625,0.10263403952796575,0.09736596047203425,0.09745551198178375,,
126,11,0,-1,3702,CVE,21.718200000000003,21.010199999999998,0.005999999999999999,0.005999999999999999,0.194,0.194,,
127,11,0,-1,3702,CCVE,585.398,452.3286,0.006000000000000001,0.006000000000000001,0.194,0.194,,
128,11,0,-1,3702,CCALPeps,4693.1978,4688.352000000001,0.006018798120187976,0.006018798120187987,0.193981201879812,0.19398120187981202,,
129,11,0,-1,4936,CVE,20.553,19.869399999999995,0.165698,0.165698,0.03430199999999999,0.03430199999999999,,
130,11,0,-1,4936,CCVE,646.6974,522.8108,0.1616576,0.17332640000000002,0.0266736,0.038342400000000006,,
131,11,0,-1,4936,CCALPeps,5016.2534,5009.2684,0.16481622673323193,0.17012144069851304,0.029878559301486952,0.03518377326676807,,
132,11,0,-1,6170,CVE,23.079199999999997,22.516,0.1721056,0.1721056,0.027894399999999996,0.027894399999999996,,
133,11,0,-1,6170,CCVE,666.7948,538.487,0.17207999999999998,0.1721824,0.027817599999999998,0.02792,,
134,11,0,-1,6170,CCALPeps,3846.5354000000007,3841.4055999999996,0.17206052268826058,0.1721626004204626,0.027837399579537393,0.027939477311739423,,
135,11,0,-1,7404,CVE,20.8754,20.2866,0.050156908784915875,0.050156908784915875,0.14984309121508413,0.14984309121508413,,
136,11,0,-1,7404,CCVE,652.0716,529.719,0.04674896038662009,0.06339249727914945,0.1366075027208506,0.1532510396133799,,
137,11,0,-1,7404,CCALPeps,4043.9452000000006,4038.7136,0.049402981532525495,0.06077205768467857,0.13922794231532143,0.1505970184674745,,
138,11,0,-1,8638,CVE,21.6668,21.118600000000004,0.12215356707617517,0.12215356707617517,0.07784643292382483,0.07784643292382483,,
139,11,0,-1,8638,CCVE,2361.5901999999996,2224.1962,0.12207394079998564,0.1222331792940412,0.07776682070595878,0.07792605920001436,,
