,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
251,38,0,4936,6,CCALPeps,11253.7826,11181.6714,0.19430087279420563,0.19430087279420574,0.005699127205794265,0.005699127205794375
252,38,0,6170,6,CVE,,,,,,
253,38,0,6170,6,CCVE,,,,,,
254,38,0,6170,6,CCALPeps,11359.7548,11288.3062,0.11060835802387707,0.11061465187619565,0.08938534812380435,0.08939164197612293
255,38,0,7404,6,CVE,,,,,,
256,38,0,7404,6,CCVE,,,,,,
257,38,0,7404,6,CCALPeps,11562.045,11481.083599999998,0.16220590812122843,0.162206318555792,0.037793681444207985,0.037794091878771564
258,38,0,8638,6,CVE,,,,,,
259,38,0,8638,6,CCVE,,,,,,
260,38,0,8638,6,CCALPeps,10319.191200000001,10236.3884,0.00790187417560637,0.007901874175606383,0.19209812582439362,0.19209812582439362
261,38,0,9872,6,CVE,,,,,,
262,38,0,9872,6,CCVE,,,,,,
263,38,0,9872,6,CCALPeps,12471.276800000001,12399.081600000001,0.12849001860522988,0.128490837698054,0.071509162301946,0.07150998139477012
264,38,0,11106,6,CVE,,,,,,
265,38,0,11106,6,CCVE,,,,,,
266,38,0,11106,6,CCALPeps,10869.085599999999,10797.674799999999,0.15403690629264633,0.15403705218208752,0.04596294781791249,0.04596309370735367
267,38,0,12340,6,CVE,,,,,,
268,38,0,12340,6,CCVE,,,,,,
269,38,0,12340,6,CCALPeps,10707.5774,10615.368400000001,0.14032780128029862,0.14032780128029873,0.059672198719701273,0.05967219871970138
270,39,0,1234,6,CVE,,,,,,
271,39,0,1234,6,CCVE,,,,,,
272,39,0,1234,6,CCALPeps,12244.637,12161.520799999998,0.02073710940831005,0.02073717192591486,0.17926282807408514,0.17926289059168996
273,39,0,2468,6,CVE,,,,,,
274,39,0,2468,6,CCVE,,,,,,
275,39,0,2468,6,CCALPeps,10848.238999999998,10768.4334,0.08792673472173643,0.08792673472173654,0.11207326527826347,0.11207326527826358
276,39,0,3702,6,CVE,,,,,,
277,39,0,3702,6,CCVE,,,,,,
278,39,0,3702,6,CCALPeps,,,,,,
279,39,0,4936,6,CVE,,,,,,
280,39,0,4936,6,CCVE,,,,,,
281,39,0,4936,6,CCALPeps,12817.197,12741.3308,0.1144769794306246,0.11448126847127367,0.08551873152872633,0.0855230205693754
282,39,0,6170,6,CVE,,,,,,
283,39,0,6170,6,CCVE,,,,,,
284,39,0,6170,6,CCALPeps,12256.259,12183.2216,0.17139097116086138,0.17148398552315283,0.028516014476847186,0.02860902883913862
285,39,0,7404,6,CVE,,,,,,
286,39,0,7404,6,CCVE,,,,,,
287,39,0,7404,6,CCALPeps,13132.4522,13061.2838,0.09737291753770565,0.09737693712623721,0.1026230628737628,0.10262708246229435
288,39,0,8638,6,CVE,,,,,,
289,39,0,8638,6,CCVE,,,,,,
290,39,0,8638,6,CCALPeps,12350.772999999997,12278.4068,0.006138222513657921,0.006138258255782585,0.19386174174421741,0.1938617774863421
291,39,0,9872,6,CVE,,,,,,
292,39,0,9872,6,CCVE,,,,,,
293,39,0,9872,6,CCALPeps,11141.913,11067.6158,0.08800239976002393,0.08800239976002405,0.11199760023997593,0.11199760023997607
294,39,0,11106,6,CVE,,,,,,
295,39,0,11106,6,CCVE,,,,,,
296,39,0,11106,6,CCALPeps,12445.076000000001,12367.143,0.1584897132341701,0.15850100530382236,0.04149899469617764,0.04151028676582991
297,39,0,12340,6,CVE,,,,,,
298,39,0,12340,6,CCVE,,,,,,
299,39,0,12340,6,CCALPeps,11783.5852,11714.385,0.041680047553126404,0.04168008031318995,0.15831991968681006,0.1583199524468736
